0,2005-12-19
1,2006-01-01
2,2006-01-17
3,2006-02-02
4,2006-02-18
5,2006-03-06
6,2006-03-22
7,2006-04-07
8,2006-04-23
9,2006-05-09
10,2006-05-25
11,2006-06-10
12,2006-06-26
13,2006-07-12
14,2006-07-28
15,2006-08-13
16,2006-08-29
17,2006-09-14
18,2006-09-30
19,2006-10-16
20,2006-11-01
21,2006-11-17
22,2006-12-03
23,2006-12-19
24,2007-01-01
25,2007-01-17
26,2007-02-02
27,2007-02-18
28,2007-03-06
29,2007-03-22
30,2007-04-07
31,2007-04-23
32,2007-05-09
33,2007-05-25
34,2007-06-10
35,2007-06-26
36,2007-07-12
37,2007-07-28
38,2007-08-13
39,2007-08-29
40,2007-09-14
41,2007-09-30
42,2007-10-16
43,2007-11-01
44,2007-11-17
45,2007-12-03
46,2007-12-19
47,2008-01-01
48,2008-01-17
49,2008-02-02
50,2008-02-18
51,2008-03-05
52,2008-03-21
53,2008-04-06
54,2008-04-22
55,2008-05-08
56,2008-05-24
57,2008-06-09
58,2008-06-25
59,2008-07-11
60,2008-07-27
61,2008-08-12
62,2008-08-28
63,2008-09-13
64,2008-09-29
65,2008-10-15
66,2008-10-31
67,2008-11-16
68,2008-12-02
69,2008-12-18
70,2009-01-01
71,2009-01-17
72,2009-02-02
73,2009-02-18
74,2009-03-06
75,2009-03-22
76,2009-04-07
77,2009-04-23
78,2009-05-09
79,2009-05-25
80,2009-06-10
81,2009-06-26
82,2009-07-12
83,2009-07-28
84,2009-08-13
85,2009-08-29
86,2009-09-14
87,2009-09-30
88,2009-10-16
89,2009-11-01
90,2009-11-17
91,2009-12-03
92,2009-12-19
93,2010-01-01
94,2010-01-17
95,2010-02-02
96,2010-02-18
97,2010-03-06
98,2010-03-22
99,2010-04-07
100,2010-04-23
101,2010-05-09
102,2010-05-25
103,2010-06-10
104,2010-06-26
105,2010-07-12
106,2010-07-28
107,2010-08-13
108,2010-08-29
109,2010-09-14
110,2010-09-30
111,2010-10-16
112,2010-11-01
113,2010-11-17
114,2010-12-03
115,2010-12-19
116,2011-01-01
117,2011-01-17
118,2011-02-02
119,2011-02-18
120,2011-03-06
121,2011-03-22
122,2011-04-07
123,2011-04-23
124,2011-05-09
125,2011-05-25
126,2011-06-10
127,2011-06-26
128,2011-07-12
129,2011-07-28
130,2011-08-13
131,2011-08-29
132,2011-09-14
133,2011-09-30
134,2011-10-16
135,2011-11-01
136,2011-11-17
137,2011-12-03
138,2011-12-19
139,2012-01-01
140,2012-01-17
141,2012-02-02
142,2012-02-18
143,2012-03-05
144,2012-03-21
145,2012-04-06
146,2012-04-22
147,2012-05-08
148,2012-05-24
149,2012-06-09
